,0
0,Is there a bot chatting to me?
1,Is it automated message?
2,Computer based pely
3,Bot or human?
4,Bot is chatting with me?
5,Are you system generated message?
6,Are you robot?
7,Are you machine?
8,Are you just computer?
9,Are you a robot?
10,Are you a person?
11,Are you a machine?
12,Are you a chatbot?
13,Are you a bot?
14,Are these automated messages?
15,Am I talking to a bot?
16,You are a boy are girl?
17,You are a bot or human?
18,This is a machine?
19,This is a chatbot?
20,System generated reply
21,Sir you system genretrd
22,Is this computer based response
23,Is this a machine?
24,Are you a human?
25,Need help please
26,Need help
27,I need some info
28,Will you help me?
29,What else can you do?
30,What do you do?
31,What can you help me with?
32,What can you do?
33,What are you good at?
34,Need help plz
35,How can you help me
36,Can you help me?
37,How can you assist?
38,How can you help me?
39,How do you help?
40,How to help you?
41,How will you assist me?
42,i need help
43,Can you tell some info
44,Help me please
45,Hey
46,Hi
47,Hey!
48,Hey there
49,Hola!
50,Hello chatbox 
51,Hows life?
52,How was your day?
53,How you doin?
54,Whats up?
55,What's happening?
56,Kya chal raha?
57,Wassup?
58,How you doing?
59,Are you fine?
60,Are you good?
61,How are you?
62,How are you doing?
63,Who are youu?
64,What can I call you?
65,Your name?
66,Can you tell me your name?
67,Are you there?
68,Any one there?
69,What is your name?
70,are you abir?
71,Is anyone there?
72,Your name is?
73,Who is chatting?
74,Tell me about your self?
75,Who are you?
76,Who am I chatting with?
77,What's your name?
78,What should I say as your name?
79,Tell me your name?
80,What are you called?
81,I have a question
82,Need to aska query
83,I have a question for you
84,HAving a query
85,I have a query for you
86,I have a query
87,Have a query for you
88,Who is conducting this event
89,What does IEEE-VIT do?
90,What is IEEE-VIT ?
91,Could you tell me more about IEEE-VIT?
92,is this IEEE-VIT?
93,Could you tell me more what does IEEE do?
94,What is this chapter do?
95,What is IEEE?
96,What is ieee in vit
97,Can you give information about IEEE-VIT
98,What is IEEE-VIT  known for?
99,What IEEE offers? 
100,What's the club about?
101,What does IEEE-VIT does
102,What is IEEE-VIT?
103,What is ieee
104,What is IEEE vit ?
105,What role does IEEE has to play?
106,what's IEEE
107,What is the aim of your chapter? 
108,How did IEEE came into play?
109,How much would it cost to participate?
110,Is there a registration fee?
111,Is the event free?
112,How much will it cost me to register?
113,What are the registration fees?
114,How much do we have to pay
115,What is the registration fee of the event?
116,What is the fees required to register for the event?
117,WhatÃ¢ÂÂs the price for getting a registration done in the event
118,How much does it cost?
119,How much should I pay for registration?
120,How much is the registration charge?
121,How much do I have to pay to register?
122,How much is the registration fee
123,What is the registration fee?
124,Is there a registeration fee?
125,Should I open my wallet?
126,what is the registration fees?
127,What would be the registration fees for this event?
128,How much it's gonna cost?
129,what's the registration fees? 
130,What is the cost for the event? 
131,How much do I pay to register?
132,Can I pay online? 
133,Can I pay on the spot? 
134,Will you accept gpay?
135,Is is refundable?
136,What's the mode of payment?
137,How much does it cost? 
138,What is the registration cost?
139,When is the last day i can join
140,Till when can I apply?
141,Till when can I register?
142,When is the deadline to register for opencon?
143,till when can I register ? 
144,When is the deadline for registration?
145,What is the last date for registration
146,By what date should we register for the event?
147,Till when can i fill the form
148,When is the registration ending?
149,When is the last date?
150,When does the registration close?  
151,When can I register till?
152,When can I register by?
153,When is the last date of registration
154,When is the last date for registration?
155,Last date to register 
156,WhatÃ¢ÂÂs the deadline for my registration?
157,Until when can i register? 
158,What would be the last date to register?
159,Till which date can I register
160,when is the last for registration? 
161,When is the last date to register? 
162,What is the deadline for registration?
163,What is the last day for registration?
164,When is the last date? 
165,What is the last date for registration?
166,Till what date can I apply for the event?
167,When is the last day to register?
168,Can we register on spot? 
169,What is the last date for payment?
170,Can we approach anyone for registration if the last date passes?
171,When is the event
172,What dates are the events going to be on? 
173,When is it being held?
174,When will opencon be held?
175,Which day to which day is the event? 
176,when is the event? 
177,When is the event going to happen ?
178,When is the event happening
179,What are the dates of the event?
180,When is the event planned to take place
181,When and where is it being held?
182,When is it scheduled?
183,When is this event? Do we have to attend all the days? 
184,When is it
185,When is it?
186,When is the event organised
187,When is this event?
188,Date?
189,When do you need my presence?
190,When will that event take place?
191,What are the dates when the event is held? 
192,On which dates will the event be held?
193,What is the time span for the event?
194,What is the schedule for the event? 
195,When does the even start and end?
196,What are the dates for the event ? 
197,On what dates will the event be conducted?
198,How many days the event would run for? 
199,On what days we have the event?
200,Who will be taking the sessions
201,Which fields are being covered?
202,Who are the speakers in this event?
203,Who are the speakers for the event?
204,Who will be speaking at the event? 
205,Who are the speakers ?
206,Who is coming to the conference 
207,Who are the speakers for the event and what topic would they be speaking about?
208,Who all will be coming to give sessions
209,Who will be the speaker?
210,Who is going to address the gathering?
211,Who all are the speakers in this event?
212,Who is speaking
213,Who are the speakers!
214,Who are the guests
215,Who are the speakers?
216,Speakers?
217,What about the trainers?
218,Do you have any speakers coming in? 
219,Who would be presiding as speakers for the session?
220,Who are the speakers
221,who all are the speakers for the hackathon? 
222,Could you name the speakers who will be coming?
223,Who are the speakers?
224,How many speakers will there be? 
225,Will this speaker be there? 
226,Can I see a list of speakers?
227,General info about the speakers? 
228,When will the speakers be coming? 
229,Can we talk to them personally?
230,What domains/specializations are they gonna talk about?
231,What will the winner get
232,Are there cash prizes?
233,Does the winner get a prize?
234,Prizes for the winners?
235,Do the people who didn't win but performed well get anything?
236,are there any prizes? 
237,Is there a winner prize?
238,What is the prize for the winner of the hack
239,Are there any prizes for winners?
240,What will i get if i win the opencon
241,What is the reward?
242,What are the rewards?
243,What is the cash prize? 
244,What will I get?
245,What do I get if I win?
246,How much is the prize money
247,What is the prize money?
248,Award?
249,Will I get some bounty?
250,Do you have any prizes?
251,What about the price money?
252,What can I get?
253,what's the prize money? 
254,Do we get any prizes? 
255,What are the prizes being offered?
256,What is the prize money?
257,What is the criteria for getting a prize?
258,What is the breakdown for the prizes? 
259,Will there be goodies?
260,What are the prizes for winners? 
261,Do runner ups get something? 
262,Will we get stickers for answering questions in event? 
263,Will we get T-shirts in the event?
264,Will the prize be cash or goodies or other benefits? 
265,How will the prize be divided?
266,What's is the prize?
267,Are there second and third places too?
268,What is the timeline of the event
269,What is the schedule?
270,What is the flow of the event?
271,Can I see the event schedule ?
272,whatÃ¢ÂÂs the Schedule? 
273,What is the schedule for the event ?
274,What is timing of the event 
275,How would the event go on?
276,What is the itinerary of your event 
277,What is the schedule
278,When is the event scheduled?
279,When is the event? Can we leave in between?
280,Can I have the itinerary?
281,What's the schedule
282,What is the itinerary
283,Event itinerary?
284,Schedule
285,WhatÃ¢ÂÂs the time table for this event?
286,What is the flow of events?
287,When is it going to be held?
288,When is it gonna start
289,what's the event timings and schedule? 
290,What is the detailed event schedule 
291,How is the event schedule?
292,When are the events happening? 
293,What is the itinerary? 
294,When is the event being hosted?
295,Do we have to stay there the whole day?
296,How many days the event would go for?
297,When is the conference?
298,What will happen when?
299,What is this about?
300,What is this event about? 
301,What is open con?
302,What is opencon?
303,what is this? 
304,What is this event about?
305,What exactly is open con
306,Basically is it a conference or hackathon?
307,What is opencon basically about..?
308,What is the event all about?
309,What exactly is this event?
310,What's the event? 
311,What is this 
312,What is this about
313,What is this event about
314,What is this about?
315,What is the event about? 
316,WhatÃ¢ÂÂs so great in this event?
317,What does it entail 
318,What is the event all about?
319,What is this event about
320,What is the event about? 
321,What is this all about?
322,What will we do in this event ?
323,What benefits do we get from this event?
324,how is it different from other hackathons?
325,Where can i stay
326,Will the accommodation be included in registration fees?
327,Where can I stay ?
328,What about accomodation for the participants?
329,is accommodation provided?
330,Is accomadation available for externals?
331,What will we do for accommodation 
332,Would I be provided accommodation by VIT?
333,Is stay provided for us
334,How is the accomodation done?
335,How will you accommodate?
336,Is accommodation free? 
337,Where can I stay?
338,Where can I stay?
339,What about our stay
340,What is the accommodation situation?
341,Where do i stay?
342,Where will I stay?
343,What are the accommodations provided?
344,Will there be any accommodation for the participants?
345,Is accommodation provided
346,Will u provide accommodation during the event? 
347,Do you provide accommodation? 
348,Will accommodation be arranged?
349,How will we be accomadated during the event?
350,Can I stay outside campus? 
351,Are there any accommodations in the hostels?
352,Can I stay with a friend in his/her hostel?
353,All the details of the accommodation.
354,Would accommodation be free or paid? 
355,Would accommodation be provided in a dormitory? 
356,Would it be AC/Non AC?
357,Can I live outside the VIT campus?
358,Will we provided rooms or dormitories?
359,Will refreshments be provided
360,What is the menu?
361,Do we get food during the event? What food?
362,What about food/refreshments during the event?
363,Do we have to get our own food? 
364,will food be provided?
365,Will food be provided ?
366,What are th arrangements for food
367,Would food be provided?
368,Will we be provided food during the event
369,Will food be provided
370,Will the food be provided?
371,Is there any proper food arrangement? 
372,What about lunch?
373,Will food be provided?
374,Are we gonna be provided food
375,What are the foods offered?
376,Is there food?
377,I am a foodie! Will I get some good food when I am hungry?
378,Will you feed us?
379,Will food be provided?
380,Is food included
381,will there be free food? 
382,What are the arrangements for food? 
383,What food arrangements shall be there?
384,What about refreshments?
385,Is there non-vegetarian food? 
386,Will there be vegan food?
387,What will be provided to us as food to be precise!
388,Do we get the food services all the days of the event?
389,Do we have to pay seperately for food?
390,Will there be stalls ?
391,Would food arrangements be free of cost? 
392,Would pizza's be provided?
393,Are there arrangements for vegetarians? 
394,Are there arrangements for non vegetarians?
395,I have further doubts i want to clear
396,Who to contact for further doubts?
397,Give me the contact info of someone from ieee
398,Who should I contact for more info?
399,whom can I contact? 
400,Who do i contact regarding this event?
401,Who should I contact 
402,Whom to contact?
403,Whom can i contact in person from ieeevit
404,Whom to contact for more information
405,How to contact the organisation committee?
406,Whom can we contact for queries?
407,Can I get some numbers
408,I need more help
409,Who should I talk to
410,Contact info?
411,Phone
412,I want more details about the event Do you know someone who could help me out?
413,Who can i contact for further details ?
414,Whom do I need to contact?
415,Who can I contact for more details
416,whom should I contact? 
417,Whom can I contact for queries? 
418,Could you provide the details of a person to contact?
419,Who can I contact for queries regarding the event?
420,Who can I call for clarification? 
421,How can I reach the event hosts? 
422,Contact details of organisers
423,Who can I contact for queries regarding accomaodation?
424,Is there any general email id or platform where we can send our questions?
425,Who should I contact for accommodation arrangements? 
426,I have some general query Who should I talk to?
